No handlers could be found for logger "django.request"
127.0.0.1 - - [09/Nov/2014 18:00:20] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [09/Nov/2014 18:00:21] "GET /add/ HTTP/1.1" 200 18272
127.0.0.1 - - [09/Nov/2014 18:02:17] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [09/Nov/2014 18:02:20] "GET /menu/adjust/ HTTP/1.1" 200 3892
127.0.0.1 - - [09/Nov/2014 18:02:21] "GET /menu/get/ HTTP/1.1" 200 2
127.0.0.1 - - [09/Nov/2014 18:11:00] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:11:01] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:11:04] "POST /login/ HTTP/1.1" 200 40
127.0.0.1 - - [09/Nov/2014 18:11:04] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [09/Nov/2014 18:11:07] "GET /menu/adjust/ HTTP/1.1" 200 3892
127.0.0.1 - - [09/Nov/2014 18:11:07] "GET /menu/get/ HTTP/1.1" 200 2
127.0.0.1 - - [09/Nov/2014 18:31:12] "GET /?signature=f1b5e7412736c3f84a2ad4422b704fc0f34adc3f&echostr=8967209636018999118&timestamp=1415528974&nonce=2021050224 HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:31:20] "GET /?signature=bed59d821ea05aee6fd6279334b7b3a5d2cb95fe&echostr=4389269528402417374&timestamp=1415528982&nonce=1500709228 HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:35:11] "GET /wx7Test?signature=35a5b1b81b6b9e4e2779a32c7944f07c7ec05dfd&echostr=3733564876738489343&timestamp=1415529213&nonce=1437434847 HTTP/1.1" 404 5390
127.0.0.1 - - [09/Nov/2014 18:35:53] "GET /wx7Test?signature=61b48ff99d66aabcd62135b21a44bf3beca797f0&echostr=3683826325564375863&timestamp=1415529255&nonce=409851715 HTTP/1.1" 404 5389
127.0.0.1 - - [09/Nov/2014 18:36:56] "GET / HTTP/1.1" 302 0
127.0.0.1 - - [09/Nov/2014 18:36:56] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [09/Nov/2014 18:36:58] "GET /logout/ HTTP/1.1" 302 0
127.0.0.1 - - [09/Nov/2014 18:36:58] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:37:39] "GET /wx7Test?signature=f3876e930f261f025bf9b109b5f53ba040119a9c&echostr=2698327047941356497&timestamp=1415529361&nonce=1088407795 HTTP/1.1" 404 5390
127.0.0.1 - - [09/Nov/2014 18:38:37] "GET /wx7Test?signature=905d461bd31a6b69f9ffa94004475286f0f364b2&echostr=8592511484297169915&timestamp=1415529419&nonce=1555752313 HTTP/1.1" 404 5390
127.0.0.1 - - [09/Nov/2014 18:39:03] "GET /weixin?signature=ffd86337a7c1e945d5eae5eea09ac5e7084a87d6&echostr=4440672349383024639&timestamp=1415529446&nonce=1754257342 HTTP/1.1" 404 5387
127.0.0.1 - - [09/Nov/2014 18:39:38] "GET /weixin?signature=fe9bbbe118dd9d22175666baafe4d2cbeff5df4b&echostr=3441569043115400507&timestamp=1415529480&nonce=1611172501 HTTP/1.1" 404 5387
127.0.0.1 - - [09/Nov/2014 18:40:46] "GET /weixin?signature=1d07afe63d176b49ce415af8ccda5d9d42c4a705&echostr=4436033020629048654&timestamp=1415529548&nonce=1733488726 HTTP/1.1" 404 5387
127.0.0.1 - - [09/Nov/2014 18:40:54] "GET /wx7Test?signature=8a8822ecd632666013b9a1476d811df60f73d663&echostr=3085242848872748157&timestamp=1415529556&nonce=792738668 HTTP/1.1" 404 5389
127.0.0.1 - - [09/Nov/2014 18:42:28] "GET /wx7Test?signature=fbe324f1b50824d69dc0eb44600c29f0df9333cd&echostr=5490893566536316855&timestamp=1415529649&nonce=1508170673 HTTP/1.1" 404 5390
127.0.0.1 - - [09/Nov/2014 18:42:28] "GET /wx7Test?signature=94f81361a00251651faf14e52e27b5b898836856&echostr=394291709428623027&timestamp=1415529651&nonce=428394482 HTTP/1.1" 404 5388
127.0.0.1 - - [09/Nov/2014 18:42:33] "GET /weixin?signature=e035a1708b1cefb88a4d391dd4e86343a0ed493e&echostr=1425451745240110263&timestamp=1415529655&nonce=499753994 HTTP/1.1" 404 5386
127.0.0.1 - - [09/Nov/2014 18:42:49] "GET /weixin?signature=048ba33ba6f674108a40693853bc790080239de2&echostr=5588147715065208015&timestamp=1415529671&nonce=342192893 HTTP/1.1" 404 5386
Traceback (most recent call last):
  File "/usr/lib/python2.7/wsgiref/handlers.py", line 85, in run
    self.result = application(self.environ, self.start_response)
  File "/home/wx7/wx7Test/tsinghuatuan/app.py", line 32, in app
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/core/handlers/wsgi.py", line 206, in __call__
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/core/handlers/base.py", line 196, in get_response
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/core/handlers/base.py", line 231, in handle_uncaught_exception
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/views/debug.py", line 69, in technical_500_response
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/views/debug.py", line 323, in get_traceback_html
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/views/debug.py", line 305, in get_traceback_data
  File "/home/wx7/wx7Test/local/lib/python2.7/site-packages/django/__init__.py", line 6, in get_version
ImportError: No module named version
127.0.0.1 - - [09/Nov/2014 18:42:54] "GET / HTTP/1.1" 500 59
